"","tail_num","sum_airtime","num_flights","airline","total_delay","n_delays","avg_airtime","avg_delay","pct_delay","Top25pct_AA","Top25pct_BA","Bottom25pct_AA","Bottom25pct_BA"
"1167",N119NN,40943,164,AA,-118,52,249.65243902439,-0.719512195121951,0.317073170731707,TRUE,FALSE,FALSE,FALSE
"1091",N596NW,40658,182,BA,1671,72,223.395604395604,9.18131868131868,0.395604395604396,FALSE,TRUE,FALSE,FALSE
"1156",N884DN,40642,215,BA,423,66,189.032558139535,1.96744186046512,0.306976744186047,FALSE,TRUE,FALSE,FALSE
"893",N133AN,40514,160,AA,2529,63,253.2125,15.80625,0.39375,TRUE,FALSE,FALSE,FALSE
"1013",N877DN,40234,223,BA,-1135,49,180.421524663677,-5.08968609865471,0.219730941704036,FALSE,TRUE,FALSE,FALSE
"1145",N926UW,39997,248,AA,1895,84,161.278225806452,7.64112903225806,0.338709677419355,TRUE,FALSE,FALSE,FALSE
"1183",N592NW,39979,166,BA,467,63,240.83734939759,2.81325301204819,0.379518072289157,FALSE,TRUE,FALSE,FALSE
"1364",N891DN,39833,212,BA,-1465,50,187.891509433962,-6.91037735849057,0.235849056603774,FALSE,TRUE,FALSE,FALSE
"367",N922DZ,39593,258,BA,-1498,57,153.461240310078,-5.8062015503876,0.22093023255814,FALSE,TRUE,FALSE,FALSE
"487",N923DZ,39571,229,BA,-976,43,172.799126637555,-4.26200873362445,0.187772925764192,FALSE,TRUE,FALSE,FALSE
"295",N303DN,39415,268,BA,1193,110,147.070895522388,4.45149253731343,0.41044776119403,FALSE,TRUE,FALSE,FALSE
"703",N722TW,39412,126,BA,-248,43,312.793650793651,-1.96825396825397,0.341269841269841,FALSE,TRUE,FALSE,FALSE
"409",N727TW,39384,128,BA,2433,52,307.6875,19.0078125,0.40625,FALSE,TRUE,FALSE,FALSE
"880",N548US,39298,174,BA,3339,63,225.850574712644,19.1896551724138,0.362068965517241,FALSE,TRUE,FALSE,FALSE
"1335",N122NN,39169,155,AA,79,54,252.703225806452,0.509677419354839,0.348387096774194,TRUE,FALSE,FALSE,FALSE
"393",N545US,39159,177,BA,2397,69,221.237288135593,13.5423728813559,0.389830508474576,FALSE,TRUE,FALSE,FALSE
"643",N535UW,39108,230,AA,1820,85,170.034782608696,7.91304347826087,0.369565217391304,TRUE,FALSE,FALSE,FALSE
"1303",N721TW,38996,126,BA,681,49,309.492063492063,5.40476190476191,0.388888888888889,FALSE,TRUE,FALSE,FALSE
"668",N121AN,38961,162,AA,897,59,240.5,5.53703703703704,0.364197530864198,TRUE,FALSE,FALSE,FALSE
"267",N120EE,38939,151,AA,4996,66,257.87417218543,33.0860927152318,0.437086092715232,TRUE,FALSE,FALSE,FALSE
"470",N988AL,38918,239,AA,297,88,162.836820083682,1.24267782426778,0.368200836820084,TRUE,FALSE,FALSE,FALSE
"171",N369DN,38884,276,BA,1045,100,140.884057971014,3.78623188405797,0.36231884057971,FALSE,TRUE,FALSE,FALSE
"930",N546UW,38777,241,AA,3147,109,160.900414937759,13.0580912863071,0.452282157676349,TRUE,FALSE,FALSE,FALSE
"153",N927DZ,38754,240,BA,-385,61,161.475,-1.60416666666667,0.254166666666667,FALSE,TRUE,FALSE,FALSE
"805",N927UW,38746,229,AA,1531,94,169.196506550218,6.68558951965066,0.410480349344978,TRUE,FALSE,FALSE,FALSE
"1302",N929DZ,38672,231,BA,-1275,54,167.411255411255,-5.51948051948052,0.233766233766234,FALSE,TRUE,FALSE,FALSE
"825",N581UW,38669,233,AA,1455,91,165.961373390558,6.24463519313305,0.390557939914163,TRUE,FALSE,FALSE,FALSE
"1510",N707TW,38585,126,BA,1849,50,306.230158730159,14.6746031746032,0.396825396825397,FALSE,TRUE,FALSE,FALSE
"429",N151UW,38571,252,AA,386,90,153.059523809524,1.53174603174603,0.357142857142857,TRUE,FALSE,FALSE,FALSE
"1386",N150UW,38522,224,AA,2283,97,171.973214285714,10.1919642857143,0.433035714285714,TRUE,FALSE,FALSE,FALSE
"1268",N925UY,38511,224,AA,448,62,171.924107142857,2,0.276785714285714,TRUE,FALSE,FALSE,FALSE
"461",N893DN,38474,207,BA,-1027,46,185.864734299517,-4.96135265700483,0.222222222222222,FALSE,TRUE,FALSE,FALSE
"309",N124AA,38425,153,AA,1184,61,251.143790849673,7.73856209150327,0.398692810457516,TRUE,FALSE,FALSE,FALSE
"1016",N982VJ,38416,237,AA,1118,83,162.092827004219,4.71729957805907,0.350210970464135,TRUE,FALSE,FALSE,FALSE
"838",N587UW,38413,228,AA,1049,82,168.478070175439,4.60087719298246,0.359649122807018,TRUE,FALSE,FALSE,FALSE
"228",N383DZ,38381,270,BA,4791,111,142.151851851852,17.7444444444444,0.411111111111111,FALSE,TRUE,FALSE,FALSE
"100",N912DU,38333,226,BA,-810,54,169.615044247788,-3.58407079646018,0.238938053097345,FALSE,TRUE,FALSE,FALSE
"243",N328DN,38333,256,BA,2219,105,149.73828125,8.66796875,0.41015625,FALSE,TRUE,FALSE,FALSE
"796",N403AN,38217,194,AA,3362,101,196.994845360825,17.3298969072165,0.520618556701031,TRUE,FALSE,FALSE,FALSE
"1176",N176UW,38182,228,AA,4227,107,167.464912280702,18.5394736842105,0.469298245614035,TRUE,FALSE,FALSE,FALSE
"236",N557UW,38137,237,AA,1754,84,160.915611814346,7.40084388185654,0.354430379746835,TRUE,FALSE,FALSE,FALSE
"663",N314DN,38104,267,BA,1766,104,142.711610486891,6.61423220973783,0.389513108614232,FALSE,TRUE,FALSE,FALSE
"358",N885DN,38086,212,BA,206,51,179.650943396226,0.971698113207547,0.240566037735849,FALSE,TRUE,FALSE,FALSE
"109",N913DU,38040,217,BA,118,56,175.299539170507,0.543778801843318,0.258064516129032,FALSE,TRUE,FALSE,FALSE
"746",N908AA,38021,218,AA,389,82,174.408256880734,1.78440366972477,0.376146788990826,TRUE,FALSE,FALSE,FALSE
"582",N703TW,38006,124,BA,1766,61,306.5,14.241935483871,0.491935483870968,FALSE,TRUE,FALSE,FALSE
"782",N167US,37987,250,AA,2298,99,151.948,9.192,0.396,TRUE,FALSE,FALSE,FALSE
"303",N934AA,37904,228,AA,3929,84,166.245614035088,17.2324561403509,0.368421052631579,TRUE,FALSE,FALSE,FALSE
"946",N544US,37904,161,BA,892,60,235.428571428571,5.54037267080745,0.372670807453416,FALSE,TRUE,FALSE,FALSE
"824",N152UW,37895,240,AA,2610,100,157.895833333333,10.875,0.416666666666667,TRUE,FALSE,FALSE,FALSE
"611",N908DN,37822,222,BA,-746,57,170.369369369369,-3.36036036036036,0.256756756756757,FALSE,TRUE,FALSE,FALSE
"486",N327DN,37802,259,BA,1861,114,145.953667953668,7.18532818532818,0.44015444015444,FALSE,TRUE,FALSE,FALSE
"416",N880DN,37788,217,BA,396,50,174.138248847926,1.82488479262673,0.230414746543779,FALSE,TRUE,FALSE,FALSE
"232",N353DN,37734,258,BA,1537,86,146.255813953488,5.95736434108527,0.333333333333333,FALSE,TRUE,FALSE,FALSE
"1458",N890DN,37668,207,BA,-604,53,181.971014492754,-2.91787439613527,0.256038647342995,FALSE,TRUE,FALSE,FALSE
"249",N894DN,37656,203,BA,-1452,43,185.497536945813,-7.15270935960591,0.211822660098522,FALSE,TRUE,FALSE,FALSE
"387",N331DN,37647,267,BA,4609,105,141,17.2621722846442,0.393258426966292,FALSE,TRUE,FALSE,FALSE
"877",N358DN,37638,254,BA,1708,102,148.181102362205,6.7244094488189,0.401574803149606,FALSE,TRUE,FALSE,FALSE
"336",N385DZ,37614,260,BA,2593,92,144.669230769231,9.97307692307692,0.353846153846154,FALSE,TRUE,FALSE,FALSE
"37",N888DU,37608,201,BA,-1069,55,187.10447761194,-5.31840796019901,0.27363184079602,FALSE,TRUE,FALSE,FALSE
"1066",N882DN,37600,200,BA,-31,39,188,-0.155,0.195,FALSE,TRUE,FALSE,FALSE
"60",N924US,37588,249,AA,2769,94,150.955823293173,11.1204819277108,0.377510040160643,TRUE,FALSE,FALSE,FALSE
"1408",N315DN,37580,269,BA,2787,102,139.702602230483,10.360594795539,0.379182156133829,FALSE,TRUE,FALSE,FALSE
"653",N586UW,37570,244,AA,2081,94,153.975409836066,8.52868852459016,0.385245901639344,TRUE,FALSE,FALSE,FALSE
"474",N911DQ,37557,242,BA,-722,65,155.194214876033,-2.98347107438017,0.268595041322314,FALSE,TRUE,FALSE,FALSE
